# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
NonBlockingReadAction.finalizedExecutionsCount,1701665634551000000,1701665694584000000,30
FlushQueue.waitingTimeAvgNs,1701665634551000000,1701665694584000000,9.70121717059175E7
FlushQueue.queueSizeMax,1701665634551000000,1701665694584000000,56
FlushQueue.waitingTimeMaxNs,1701665634551000000,1701665694584000000,1384120319
NonBlockingReadAction.failedExecutionsCount,1701665634551000000,1701665694584000000,17
NonBlockingReadAction.failedExecutionTimeUs,1701665634551000000,1701665694584000000,3514195
AWTEventQueue.dispatchTimeAvgNs,1701665634551000000,1701665694584000000,4095066.344397163
FlushQueue.executionTimeAvgNs,1701665634551000000,1701665694584000000,6182682.547519426
AWTEventQueue.dispatchTimeMaxNs,1701665634551000000,1701665694584000000,1426063359
FlushQueue.waitingTime90PNs,1701665634551000000,1701665694584000000,314572799
AWTEventQueue.eventsDispatched,1701665634551000000,1701665694584000000,3525
AWTEventQueue.dispatchTime90PNs,1701665634551000000,1701665694584000000,3981311
NonBlockingReadAction.finalizedExecutionTimeUs,1701665634551000000,1701665694584000000,2900714
FlushQueue.executionTimeMaxNs,1701665634551000000,1701665694584000000,1426063359
FlushQueue.executionTime90PNs,1701665634551000000,1701665694584000000,2605055
AWTEventQueue.dispatchTimeTotalNS,1701665634551000000,1701665694584000000,14439377900
FlushQueue.queueSize90P,1701665634551000000,1701665694584000000,24
FlushQueue.queueSizeAvg,1701665634551000000,1701665694584000000,7.260609683203826
FlushQueue.tasksExecuted,1701665634551000000,1701665694584000000,1673
workspaceModel.loading.total.ms,1701665634551000000,1701665694584000000,371
workspaceModel.replace.project.model.ms,1701665634551000000,1701665694584000000,0
workspaceModel.updates.precise.ms,1701665634551000000,1701665694584000000,38
workspaceModel.initializing.ms,1701665634551000000,1701665694584000000,3
workspaceModel.update.unloaded.entities.ms,1701665634551000000,1701665694584000000,0
workspaceModel.check.recursive.update.ms,1701665634551000000,1701665694584000000,1
workspaceModel.collect.changes.ms,1701665634551000000,1701665694584000000,0
workspaceModel.init.bridges.ms,1701665634551000000,1701665694584000000,3
workspaceModel.loading.from.cache.ms,1701665634551000000,1701665694584000000,336
workspaceModel.updates.ms,1701665634551000000,1701665694584000000,134
workspaceModel.to.snapshot.ms,1701665634551000000,1701665694584000000,2
workspaceModel.pre.handlers.ms,1701665634551000000,1701665694584000000,1
workspaceModel.updates.count,1701665634551000000,1701665694584000000,3
IndexesFlusher.totalFlushesRetried,1701665634551000000,1701665694584000000,0
Indexes.stubs.lookupDuration90PMs,1701665634551000000,1701665694584000000,0.0
Indexes.stubs.lookupDurationMaxMs,1701665634551000000,1701665694584000000,0.0
Indexes.entries.lookupDurationAvgMs,1701665634551000000,1701665694584000000,50.5
IndexesFlusher.totalContentionQuotaSpent,1701665634551000000,1701665694584000000,3
IndexesFlusher.totalFlushingTimeUs,1701665634551000000,1701665694584000000,1527780
VFSFlusher.totalContentionQuotaSpent,1701665634551000000,1701665694584000000,0
IndexesFlusher.totalFlushes,1701665634551000000,1701665694584000000,55
VFSFlusher.totalFlushesRetried,1701665634551000000,1701665694584000000,0
Indexes.entries.lookups,1701665634551000000,1701665694584000000,2.0
Indexes.stubs.lookupDurationAvgMs,1701665634551000000,1701665694584000000,0.0
Indexes.entries.lookupDurationMaxMs,1701665634551000000,1701665694584000000,101.0
Indexes.allKeys.lookupDuration90PMs,1701665634551000000,1701665694584000000,0.0
Indexes.allKeys.lookups,1701665634551000000,1701665694584000000,0.0
VFSFlusher.totalFlushes,1701665634551000000,1701665694584000000,43
Indexes.stubs.lookups,1701665634551000000,1701665694584000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1701665634551000000,1701665694584000000,0.0
Indexes.entries.lookupDuration90PMs,1701665634551000000,1701665694584000000,101.0
Indexes.allKeys.lookupDurationMaxMs,1701665634551000000,1701665694584000000,0.0
VFSFlusher.totalFlushingTimeUs,1701665634551000000,1701665694584000000,473133
workspaceModel.orphan.listener.update.ms,1701665634551000000,1701665694584000000,4
jps.app.storage.content.writer.save.component.ms,1701665634551000000,1701665694584000000,0
jps.app.storage.content.reader.load.component.ms,1701665634551000000,1701665694584000000,0
workspaceModel.load.cache.from.file.ms,1701665634551000000,1701665694584000000,332
workspaceModel.moduleManagerBridge.create.module.instance.ms,1701665634551000000,1701665694584000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1701665634551000000,1701665694584000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1701665634551000000,1701665694584000000,0
jps.load.initial.state.ms,1701665634551000000,1701665694584000000,15
workspaceModel.mutableEntityStorage.modify.entity.ms,1701665634551000000,1701665694584000000,9
workspaceModel.mutableEntityStorage.resolve.ms,1701665634551000000,1701665694584000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1701665634551000000,1701665694584000000,2
jps.reload.project.entities.ms,1701665634551000000,1701665694584000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1701665634551000000,1701665694584000000,2126
workspaceModel.moduleBridge.before.changed.ms,1701665634551000000,1701665694584000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1701665634551000000,1701665694584000000,59
